unit,party,seats
de.bund,afd,152
de.bund,cdu,164
de.bund,csu,44
de.bund,gruene,85
de.bund,linke,64
de.bund,spd,120
de.bund,ssw,1
de.bund.land.01,afd,5
de.bund.land.01,cdu,8
de.bund.land.01,gruene,4
de.bund.land.01,linke,2
de.bund.land.01,spd,5
de.bund.land.01,ssw,1
de.bund.land.02,afd,2
de.bund.land.02,cdu,3
de.bund.land.02,gruene,3
de.bund.land.02,linke,2
de.bund.land.02,spd,3
de.bund.land.03,afd,13
de.bund.land.03,cdu,21
de.bund.land.03,gruene,8
de.bund.land.03,linke,6
de.bund.land.03,spd,17
de.bund.land.04,afd,1
de.bund.land.04,cdu,1
de.bund.land.04,gruene,1
de.bund.land.04,linke,1
de.bund.land.04,spd,1
de.bund.land.05,afd,26
de.bund.land.05,cdu,47
de.bund.land.05,gruene,19
de.bund.land.05,linke,13
de.bund.land.05,spd,31
de.bund.land.06,afd,9
de.bund.land.06,cdu,15
de.bund.land.06,gruene,7
de.bund.land.06,linke,4
de.bund.land.06,spd,10
de.bund.land.07,afd,7
de.bund.land.07,cdu,11
de.bund.land.07,gruene,4
de.bund.land.07,linke,2
de.bund.land.07,spd,7
de.bund.land.08,afd,19
de.bund.land.08,cdu,29
de.bund.land.08,gruene,12
de.bund.land.08,linke,6
de.bund.land.08,spd,13
de.bund.land.09,afd,22
de.bund.land.09,csu,44
de.bund.land.09,gruene,14
de.bund.land.09,linke,7
de.bund.land.09,spd,14
de.bund.land.10,afd,2
de.bund.land.10,cdu,2
de.bund.land.10,gruene,1
de.bund.land.10,linke,1
de.bund.land.10,spd,2
de.bund.land.11,afd,4
de.bund.land.11,cdu,5
de.bund.land.11,gruene,5
de.bund.land.11,linke,6
de.bund.land.11,spd,4
de.bund.land.12,afd,8
de.bund.land.12,cdu,4
de.bund.land.12,gruene,2
de.bund.land.12,linke,3
de.bund.land.12,spd,4
de.bund.land.13,afd,5
de.bund.land.13,cdu,3
de.bund.land.13,gruene,1
de.bund.land.13,linke,2
de.bund.land.13,spd,2
de.bund.land.14,afd,14
de.bund.land.14,cdu,7
de.bund.land.14,gruene,2
de.bund.land.14,linke,4
de.bund.land.14,spd,3
de.bund.land.15,afd,7
de.bund.land.15,cdu,4
de.bund.land.15,gruene,1
de.bund.land.15,linke,2
de.bund.land.15,spd,2
de.bund.land.16,afd,8
de.bund.land.16,cdu,4
de.bund.land.16,gruene,1
de.bund.land.16,linke,3
de.bund.land.16,spd,2
