unit,party,seats
de.bund,cdu,191
de.bund,csu,52
de.bund,dp,15
de.bund,fdp,48
de.bund,gb-bhe,27
de.bund,spd,151
de.bund,zentrum,3
de.bund.land.01,cdu,14
de.bund.land.01,dp,1
de.bund.land.01,fdp,1
de.bund.land.01,gb-bhe,3
de.bund.land.01,spd,7
de.bund.land.02,cdu,7
de.bund.land.02,dp,2
de.bund.land.02,fdp,2
de.bund.land.02,spd,7
de.bund.land.03,cdu,25
de.bund.land.03,dp,8
de.bund.land.03,fdp,5
de.bund.land.03,gb-bhe,7
de.bund.land.03,spd,21
de.bund.land.04,cdu,2
de.bund.land.04,dp,1
de.bund.land.04,spd,3
de.bund.land.05,cdu,72
de.bund.land.05,dp,1
de.bund.land.05,fdp,12
de.bund.land.05,gb-bhe,3
de.bund.land.05,spd,47
de.bund.land.05,zentrum,3
de.bund.land.06,cdu,15
de.bund.land.06,dp,1
de.bund.land.06,fdp,9
de.bund.land.06,gb-bhe,3
de.bund.land.06,spd,16
de.bund.land.07,cdu,18
de.bund.land.07,fdp,4
de.bund.land.07,spd,9
de.bund.land.08,cdu,38
de.bund.land.08,dp,1
de.bund.land.08,fdp,9
de.bund.land.08,gb-bhe,3
de.bund.land.08,spd,16
de.bund.land.09,csu,52
de.bund.land.09,fdp,6
de.bund.land.09,gb-bhe,8
de.bund.land.09,spd,25
