unit,party,seats
de.bund,cdu,244
de.bund,csu,50
de.bund,fdp,47
de.bund,gruene,49
de.bund,linke,30
de.bund,spd,252
de.bund.land.01,cdu,10
de.bund.land.01,fdp,2
de.bund.land.01,gruene,2
de.bund.land.01,spd,10
de.bund.land.02,cdu,5
de.bund.land.02,fdp,1
de.bund.land.02,gruene,2
de.bund.land.02,spd,6
de.bund.land.03,cdu,28
de.bund.land.03,fdp,5
de.bund.land.03,gruene,5
de.bund.land.03,linke,1
de.bund.land.03,spd,28
de.bund.land.04,cdu,2
de.bund.land.04,gruene,1
de.bund.land.04,spd,3
de.bund.land.05,cdu,58
de.bund.land.05,fdp,12
de.bund.land.05,gruene,11
de.bund.land.05,linke,1
de.bund.land.05,spd,66
de.bund.land.06,cdu,20
de.bund.land.06,fdp,4
de.bund.land.06,gruene,5
de.bund.land.06,linke,1
de.bund.land.06,spd,19
de.bund.land.07,cdu,15
de.bund.land.07,fdp,2
de.bund.land.07,gruene,2
de.bund.land.07,spd,14
de.bund.land.08,cdu,37
de.bund.land.08,fdp,8
de.bund.land.08,gruene,8
de.bund.land.08,linke,1
de.bund.land.08,spd,25
de.bund.land.09,csu,50
de.bund.land.09,fdp,6
de.bund.land.09,gruene,6
de.bund.land.09,linke,1
de.bund.land.09,spd,29
de.bund.land.10,cdu,4
de.bund.land.10,spd,5
de.bund.land.11,cdu,9
de.bund.land.11,fdp,2
de.bund.land.11,gruene,3
de.bund.land.11,linke,4
de.bund.land.11,spd,9
de.bund.land.12,cdu,6
de.bund.land.12,fdp,1
de.bund.land.12,linke,4
de.bund.land.12,spd,12
de.bund.land.13,cdu,7
de.bund.land.13,fdp,1
de.bund.land.13,linke,3
de.bund.land.13,spd,4
de.bund.land.14,cdu,21
de.bund.land.14,fdp,1
de.bund.land.14,gruene,2
de.bund.land.14,linke,6
de.bund.land.14,spd,9
de.bund.land.15,cdu,10
de.bund.land.15,fdp,1
de.bund.land.15,gruene,1
de.bund.land.15,linke,4
de.bund.land.15,spd,7
de.bund.land.16,cdu,12
de.bund.land.16,fdp,1
de.bund.land.16,gruene,1
de.bund.land.16,linke,4
de.bund.land.16,spd,6
