unit,party,seats
de.bund,cdu,174
de.bund,csu,49
de.bund,fdp,46
de.bund,gruene,42
de.bund,spd,186
de.bund.land.01,cdu,9
de.bund.land.01,fdp,2
de.bund.land.01,gruene,2
de.bund.land.01,spd,9
de.bund.land.02,cdu,5
de.bund.land.02,fdp,1
de.bund.land.02,gruene,2
de.bund.land.02,spd,6
de.bund.land.03,cdu,26
de.bund.land.03,fdp,6
de.bund.land.03,gruene,5
de.bund.land.03,spd,26
de.bund.land.04,cdu,2
de.bund.land.04,fdp,1
de.bund.land.04,gruene,1
de.bund.land.04,spd,3
de.bund.land.05,cdu,58
de.bund.land.05,fdp,12
de.bund.land.05,gruene,11
de.bund.land.05,spd,62
de.bund.land.06,cdu,19
de.bund.land.06,fdp,4
de.bund.land.06,gruene,4
de.bund.land.06,spd,18
de.bund.land.07,cdu,15
de.bund.land.07,fdp,3
de.bund.land.07,gruene,2
de.bund.land.07,spd,12
de.bund.land.08,cdu,36
de.bund.land.08,fdp,9
de.bund.land.08,gruene,7
de.bund.land.08,spd,22
de.bund.land.09,csu,49
de.bund.land.09,fdp,7
de.bund.land.09,gruene,7
de.bund.land.09,spd,24
de.bund.land.10,cdu,4
de.bund.land.10,fdp,1
de.bund.land.10,gruene,1
de.bund.land.10,spd,4
