unit,party,seats
de.bund,cdu,198
de.bund,csu,47
de.bund,fdp,43
de.bund,gruene,47
de.bund,linke,36
de.bund,spd,298
de.bund.land.01,cdu,9
de.bund.land.01,fdp,2
de.bund.land.01,gruene,2
de.bund.land.01,spd,11
de.bund.land.02,cdu,4
de.bund.land.02,fdp,1
de.bund.land.02,gruene,1
de.bund.land.02,spd,7
de.bund.land.03,cdu,24
de.bund.land.03,fdp,4
de.bund.land.03,gruene,4
de.bund.land.03,linke,1
de.bund.land.03,spd,35
de.bund.land.04,cdu,1
de.bund.land.04,gruene,1
de.bund.land.04,spd,3
de.bund.land.05,cdu,52
de.bund.land.05,fdp,11
de.bund.land.05,gruene,11
de.bund.land.05,linke,2
de.bund.land.05,spd,72
de.bund.land.06,cdu,17
de.bund.land.06,fdp,4
de.bund.land.06,gruene,4
de.bund.land.06,linke,1
de.bund.land.06,spd,21
de.bund.land.07,cdu,14
de.bund.land.07,fdp,3
de.bund.land.07,gruene,2
de.bund.land.07,spd,15
de.bund.land.08,cdu,32
de.bund.land.08,fdp,7
de.bund.land.08,gruene,8
de.bund.land.08,linke,1
de.bund.land.08,spd,30
de.bund.land.09,csu,47
de.bund.land.09,fdp,5
de.bund.land.09,gruene,6
de.bund.land.09,linke,1
de.bund.land.09,spd,34
de.bund.land.10,cdu,3
de.bund.land.10,spd,5
de.bund.land.11,cdu,7
de.bund.land.11,fdp,1
de.bund.land.11,gruene,3
de.bund.land.11,linke,4
de.bund.land.11,spd,10
de.bund.land.12,cdu,5
de.bund.land.12,fdp,1
de.bund.land.12,gruene,1
de.bund.land.12,linke,4
de.bund.land.12,spd,12
de.bund.land.13,cdu,4
de.bund.land.13,linke,4
de.bund.land.13,spd,7
de.bund.land.14,cdu,13
de.bund.land.14,fdp,2
de.bund.land.14,gruene,2
de.bund.land.14,linke,8
de.bund.land.14,spd,12
de.bund.land.15,cdu,6
de.bund.land.15,fdp,1
de.bund.land.15,gruene,1
de.bund.land.15,linke,5
de.bund.land.15,spd,13
de.bund.land.16,cdu,7
de.bund.land.16,fdp,1
de.bund.land.16,gruene,1
de.bund.land.16,linke,5
de.bund.land.16,spd,11
