unit,party,seats
de.bund,cdu,255
de.bund,csu,56
de.bund,gruene,63
de.bund,linke,64
de.bund,spd,193
de.bund.land.01,cdu,11
de.bund.land.01,gruene,3
de.bund.land.01,linke,1
de.bund.land.01,spd,9
de.bund.land.02,cdu,5
de.bund.land.02,gruene,2
de.bund.land.02,linke,1
de.bund.land.02,spd,5
de.bund.land.03,cdu,31
de.bund.land.03,gruene,6
de.bund.land.03,linke,4
de.bund.land.03,spd,25
de.bund.land.04,cdu,2
de.bund.land.04,gruene,1
de.bund.land.04,linke,1
de.bund.land.04,spd,2
de.bund.land.05,cdu,63
de.bund.land.05,gruene,13
de.bund.land.05,linke,10
de.bund.land.05,spd,52
de.bund.land.06,cdu,21
de.bund.land.06,gruene,5
de.bund.land.06,linke,3
de.bund.land.06,spd,16
de.bund.land.07,cdu,16
de.bund.land.07,gruene,3
de.bund.land.07,linke,2
de.bund.land.07,spd,10
de.bund.land.08,cdu,43
de.bund.land.08,gruene,10
de.bund.land.08,linke,5
de.bund.land.08,spd,20
de.bund.land.09,csu,56
de.bund.land.09,gruene,9
de.bund.land.09,linke,4
de.bund.land.09,spd,22
de.bund.land.10,cdu,4
de.bund.land.10,gruene,1
de.bund.land.10,linke,1
de.bund.land.10,spd,3
de.bund.land.11,cdu,9
de.bund.land.11,gruene,4
de.bund.land.11,linke,6
de.bund.land.11,spd,8
de.bund.land.12,cdu,9
de.bund.land.12,gruene,1
de.bund.land.12,linke,5
de.bund.land.12,spd,5
de.bund.land.13,cdu,6
de.bund.land.13,gruene,1
de.bund.land.13,linke,3
de.bund.land.13,spd,3
de.bund.land.14,cdu,17
de.bund.land.14,gruene,2
de.bund.land.14,linke,8
de.bund.land.14,spd,6
de.bund.land.15,cdu,9
de.bund.land.15,gruene,1
de.bund.land.15,linke,5
de.bund.land.15,spd,4
de.bund.land.16,cdu,9
de.bund.land.16,gruene,1
de.bund.land.16,linke,5
de.bund.land.16,spd,3
