unit,party,seats
de.bund,afd,94
de.bund,cdu,200
de.bund,csu,46
de.bund,fdp,80
de.bund,gruene,67
de.bund,linke,69
de.bund,spd,153
de.bund.land.01,afd,2
de.bund.land.01,cdu,10
de.bund.land.01,fdp,3
de.bund.land.01,gruene,3
de.bund.land.01,linke,2
de.bund.land.01,spd,6
de.bund.land.02,afd,1
de.bund.land.02,cdu,4
de.bund.land.02,fdp,2
de.bund.land.02,gruene,2
de.bund.land.02,linke,2
de.bund.land.02,spd,5
de.bund.land.03,afd,7
de.bund.land.03,cdu,21
de.bund.land.03,fdp,7
de.bund.land.03,gruene,6
de.bund.land.03,linke,5
de.bund.land.03,spd,20
de.bund.land.04,afd,1
de.bund.land.04,cdu,1
de.bund.land.04,gruene,1
de.bund.land.04,linke,1
de.bund.land.04,spd,2
de.bund.land.05,afd,15
de.bund.land.05,cdu,42
de.bund.land.05,fdp,20
de.bund.land.05,gruene,12
de.bund.land.05,linke,12
de.bund.land.05,spd,41
de.bund.land.06,afd,6
de.bund.land.06,cdu,17
de.bund.land.06,fdp,6
de.bund.land.06,gruene,5
de.bund.land.06,linke,4
de.bund.land.06,spd,12
de.bund.land.07,afd,4
de.bund.land.07,cdu,14
de.bund.land.07,fdp,4
de.bund.land.07,gruene,3
de.bund.land.07,linke,3
de.bund.land.07,spd,9
de.bund.land.08,afd,11
de.bund.land.08,cdu,38
de.bund.land.08,fdp,12
de.bund.land.08,gruene,13
de.bund.land.08,linke,6
de.bund.land.08,spd,16
de.bund.land.09,afd,14
de.bund.land.09,csu,46
de.bund.land.09,fdp,12
de.bund.land.09,gruene,11
de.bund.land.09,linke,7
de.bund.land.09,spd,18
de.bund.land.10,afd,1
de.bund.land.10,cdu,3
de.bund.land.10,fdp,1
de.bund.land.10,gruene,1
de.bund.land.10,linke,1
de.bund.land.10,spd,3
de.bund.land.11,afd,4
de.bund.land.11,cdu,6
de.bund.land.11,fdp,3
de.bund.land.11,gruene,4
de.bund.land.11,linke,6
de.bund.land.11,spd,5
de.bund.land.12,afd,5
de.bund.land.12,cdu,9
de.bund.land.12,fdp,2
de.bund.land.12,gruene,1
de.bund.land.12,linke,4
de.bund.land.12,spd,4
de.bund.land.13,afd,3
de.bund.land.13,cdu,6
de.bund.land.13,fdp,1
de.bund.land.13,gruene,1
de.bund.land.13,linke,3
de.bund.land.13,spd,2
de.bund.land.14,afd,11
de.bund.land.14,cdu,12
de.bund.land.14,fdp,3
de.bund.land.14,gruene,2
de.bund.land.14,linke,6
de.bund.land.14,spd,4
de.bund.land.15,afd,4
de.bund.land.15,cdu,9
de.bund.land.15,fdp,2
de.bund.land.15,gruene,1
de.bund.land.15,linke,4
de.bund.land.15,spd,3
de.bund.land.16,afd,5
de.bund.land.16,cdu,8
de.bund.land.16,fdp,2
de.bund.land.16,gruene,1
de.bund.land.16,linke,3
de.bund.land.16,spd,3
