unit,party,seats
de.bund,cdu,180
de.bund,csu,46
de.bund,fdp,61
de.bund,gruene,51
de.bund,linke,54
de.bund,spd,222
de.bund.land.01,cdu,8
de.bund.land.01,fdp,2
de.bund.land.01,gruene,2
de.bund.land.01,linke,1
de.bund.land.01,spd,9
de.bund.land.02,cdu,4
de.bund.land.02,fdp,1
de.bund.land.02,gruene,2
de.bund.land.02,linke,1
de.bund.land.02,spd,6
de.bund.land.03,cdu,21
de.bund.land.03,fdp,6
de.bund.land.03,gruene,5
de.bund.land.03,linke,3
de.bund.land.03,spd,27
de.bund.land.04,cdu,1
de.bund.land.04,gruene,1
de.bund.land.04,spd,2
de.bund.land.05,cdu,46
de.bund.land.05,fdp,13
de.bund.land.05,gruene,10
de.bund.land.05,linke,7
de.bund.land.05,spd,54
de.bund.land.06,cdu,15
de.bund.land.06,fdp,5
de.bund.land.06,gruene,5
de.bund.land.06,linke,2
de.bund.land.06,spd,16
de.bund.land.07,cdu,12
de.bund.land.07,fdp,4
de.bund.land.07,gruene,2
de.bund.land.07,linke,2
de.bund.land.07,spd,11
de.bund.land.08,cdu,33
de.bund.land.08,fdp,9
de.bund.land.08,gruene,8
de.bund.land.08,linke,3
de.bund.land.08,spd,23
de.bund.land.09,csu,46
de.bund.land.09,fdp,9
de.bund.land.09,gruene,7
de.bund.land.09,linke,3
de.bund.land.09,spd,24
de.bund.land.10,cdu,3
de.bund.land.10,fdp,1
de.bund.land.10,linke,2
de.bund.land.10,spd,4
de.bund.land.11,cdu,5
de.bund.land.11,fdp,2
de.bund.land.11,gruene,3
de.bund.land.11,linke,4
de.bund.land.11,spd,8
de.bund.land.12,cdu,4
de.bund.land.12,fdp,1
de.bund.land.12,gruene,1
de.bund.land.12,linke,5
de.bund.land.12,spd,10
de.bund.land.13,cdu,4
de.bund.land.13,fdp,1
de.bund.land.13,gruene,1
de.bund.land.13,linke,3
de.bund.land.13,spd,4
de.bund.land.14,cdu,14
de.bund.land.14,fdp,4
de.bund.land.14,gruene,2
de.bund.land.14,linke,8
de.bund.land.14,spd,8
de.bund.land.15,cdu,5
de.bund.land.15,fdp,2
de.bund.land.15,gruene,1
de.bund.land.15,linke,5
de.bund.land.15,spd,10
de.bund.land.16,cdu,5
de.bund.land.16,fdp,1
de.bund.land.16,gruene,1
de.bund.land.16,linke,5
de.bund.land.16,spd,6
