unit,party,seats
de.bund,afd,83
de.bund,cdu,152
de.bund,csu,45
de.bund,fdp,92
de.bund,gruene,118
de.bund,linke,39
de.bund,spd,206
de.bund,ssw,1
de.bund.land.01,afd,2
de.bund.land.01,cdu,6
de.bund.land.01,fdp,4
de.bund.land.01,gruene,6
de.bund.land.01,linke,1
de.bund.land.01,spd,8
de.bund.land.01,ssw,1
de.bund.land.02,afd,1
de.bund.land.02,cdu,3
de.bund.land.02,fdp,2
de.bund.land.02,gruene,4
de.bund.land.02,linke,1
de.bund.land.02,spd,5
de.bund.land.03,afd,6
de.bund.land.03,cdu,18
de.bund.land.03,fdp,8
de.bund.land.03,gruene,13
de.bund.land.03,linke,3
de.bund.land.03,spd,25
de.bund.land.04,cdu,1
de.bund.land.04,fdp,1
de.bund.land.04,gruene,1
de.bund.land.04,spd,2
de.bund.land.05,afd,12
de.bund.land.05,cdu,42
de.bund.land.05,fdp,19
de.bund.land.05,gruene,27
de.bund.land.05,linke,6
de.bund.land.05,spd,49
de.bund.land.06,afd,5
de.bund.land.06,cdu,12
de.bund.land.06,fdp,7
de.bund.land.06,gruene,9
de.bund.land.06,linke,2
de.bund.land.06,spd,15
de.bund.land.07,afd,4
de.bund.land.07,cdu,9
de.bund.land.07,fdp,5
de.bund.land.07,gruene,5
de.bund.land.07,linke,1
de.bund.land.07,spd,12
de.bund.land.08,afd,10
de.bund.land.08,cdu,33
de.bund.land.08,fdp,16
de.bund.land.08,gruene,18
de.bund.land.08,linke,3
de.bund.land.08,spd,22
de.bund.land.09,afd,12
de.bund.land.09,csu,45
de.bund.land.09,fdp,14
de.bund.land.09,gruene,19
de.bund.land.09,linke,4
de.bund.land.09,spd,23
de.bund.land.10,afd,1
de.bund.land.10,cdu,2
de.bund.land.10,fdp,1
de.bund.land.10,linke,1
de.bund.land.10,spd,4
de.bund.land.11,afd,3
de.bund.land.11,cdu,5
de.bund.land.11,fdp,3
de.bund.land.11,gruene,7
de.bund.land.11,linke,4
de.bund.land.11,spd,7
de.bund.land.12,afd,5
de.bund.land.12,cdu,4
de.bund.land.12,fdp,2
de.bund.land.12,gruene,2
de.bund.land.12,linke,2
de.bund.land.12,spd,10
de.bund.land.13,afd,3
de.bund.land.13,cdu,3
de.bund.land.13,fdp,1
de.bund.land.13,gruene,1
de.bund.land.13,linke,2
de.bund.land.13,spd,6
de.bund.land.14,afd,10
de.bund.land.14,cdu,7
de.bund.land.14,fdp,5
de.bund.land.14,gruene,4
de.bund.land.14,linke,4
de.bund.land.14,spd,8
de.bund.land.15,afd,4
de.bund.land.15,cdu,4
de.bund.land.15,fdp,2
de.bund.land.15,gruene,1
de.bund.land.15,linke,2
de.bund.land.15,spd,5
de.bund.land.16,afd,5
de.bund.land.16,cdu,3
de.bund.land.16,fdp,2
de.bund.land.16,gruene,1
de.bund.land.16,linke,3
de.bund.land.16,spd,5
