unit,party,seats
de.bund,cdu,196
de.bund,csu,49
de.bund,fdp,49
de.bund,spd,202
de.bund.land.01,cdu,11
de.bund.land.01,fdp,2
de.bund.land.01,spd,8
de.bund.land.02,cdu,7
de.bund.land.02,fdp,1
de.bund.land.02,spd,9
de.bund.land.03,cdu,29
de.bund.land.03,fdp,7
de.bund.land.03,spd,26
de.bund.land.04,cdu,2
de.bund.land.04,spd,3
de.bund.land.05,cdu,74
de.bund.land.05,fdp,13
de.bund.land.05,spd,66
de.bund.land.06,cdu,18
de.bund.land.06,fdp,6
de.bund.land.06,spd,21
de.bund.land.07,cdu,16
de.bund.land.07,fdp,3
de.bund.land.07,spd,12
de.bund.land.08,cdu,35
de.bund.land.08,fdp,10
de.bund.land.08,spd,23
de.bund.land.09,csu,49
de.bund.land.09,fdp,7
de.bund.land.09,spd,30
de.bund.land.10,cdu,4
de.bund.land.10,spd,4
