unit,party,seats
de.bund,andere-kwv,3
de.bund,bp,17
de.bund,cdu,115
de.bund,csu,24
de.bund,dkp-drp,5
de.bund,dp,17
de.bund,fdp,52
de.bund,kpd,15
de.bund,spd,131
de.bund,ssw,1
de.bund,wav,12
de.bund,zentrum,10
de.bund.land.01,andere-kwv,1
de.bund.land.01,cdu,8
de.bund.land.01,dp,3
de.bund.land.01,fdp,2
de.bund.land.01,spd,8
de.bund.land.01,ssw,1
de.bund.land.02,cdu,3
de.bund.land.02,dp,1
de.bund.land.02,fdp,2
de.bund.land.02,kpd,1
de.bund.land.02,spd,6
de.bund.land.03,cdu,12
de.bund.land.03,dkp-drp,5
de.bund.land.03,dp,12
de.bund.land.03,fdp,5
de.bund.land.03,spd,24
de.bund.land.04,cdu,1
de.bund.land.04,dp,1
de.bund.land.04,spd,3
de.bund.land.05,cdu,43
de.bund.land.05,fdp,10
de.bund.land.05,kpd,9
de.bund.land.05,spd,37
de.bund.land.05,zentrum,10
de.bund.land.06,cdu,9
de.bund.land.06,fdp,12
de.bund.land.06,kpd,2
de.bund.land.06,spd,13
de.bund.land.07,cdu,13
de.bund.land.07,fdp,4
de.bund.land.07,kpd,1
de.bund.land.07,spd,7
de.bund.land.08,andere-kwv,2
de.bund.land.08,cdu,26
de.bund.land.08,fdp,10
de.bund.land.08,kpd,2
de.bund.land.08,spd,15
de.bund.land.09,bp,17
de.bund.land.09,csu,24
de.bund.land.09,fdp,7
de.bund.land.09,spd,18
de.bund.land.09,wav,12
