unit,party,seats
de.bund,cdu,194
de.bund,csu,45
de.bund,fdp,93
de.bund,gruene,68
de.bund,linke,76
de.bund,spd,146
de.bund.land.01,cdu,9
de.bund.land.01,fdp,4
de.bund.land.01,gruene,3
de.bund.land.01,linke,2
de.bund.land.01,spd,6
de.bund.land.02,cdu,4
de.bund.land.02,fdp,2
de.bund.land.02,gruene,2
de.bund.land.02,linke,1
de.bund.land.02,spd,4
de.bund.land.03,cdu,21
de.bund.land.03,fdp,9
de.bund.land.03,gruene,7
de.bund.land.03,linke,6
de.bund.land.03,spd,19
de.bund.land.04,cdu,1
de.bund.land.04,fdp,1
de.bund.land.04,gruene,1
de.bund.land.04,linke,1
de.bund.land.04,spd,2
de.bund.land.05,cdu,45
de.bund.land.05,fdp,20
de.bund.land.05,gruene,14
de.bund.land.05,linke,11
de.bund.land.05,spd,39
de.bund.land.06,cdu,15
de.bund.land.06,fdp,8
de.bund.land.06,gruene,6
de.bund.land.06,linke,4
de.bund.land.06,spd,12
de.bund.land.07,cdu,13
de.bund.land.07,fdp,5
de.bund.land.07,gruene,3
de.bund.land.07,linke,3
de.bund.land.07,spd,8
de.bund.land.08,cdu,37
de.bund.land.08,fdp,15
de.bund.land.08,gruene,11
de.bund.land.08,linke,6
de.bund.land.08,spd,15
de.bund.land.09,csu,45
de.bund.land.09,fdp,14
de.bund.land.09,gruene,10
de.bund.land.09,linke,6
de.bund.land.09,spd,16
de.bund.land.10,cdu,4
de.bund.land.10,fdp,1
de.bund.land.10,gruene,1
de.bund.land.10,linke,2
de.bund.land.10,spd,2
de.bund.land.11,cdu,6
de.bund.land.11,fdp,3
de.bund.land.11,gruene,4
de.bund.land.11,linke,5
de.bund.land.11,spd,5
de.bund.land.12,cdu,5
de.bund.land.12,fdp,2
de.bund.land.12,gruene,1
de.bund.land.12,linke,6
de.bund.land.12,spd,5
de.bund.land.13,cdu,6
de.bund.land.13,fdp,1
de.bund.land.13,gruene,1
de.bund.land.13,linke,4
de.bund.land.13,spd,2
de.bund.land.14,cdu,16
de.bund.land.14,fdp,4
de.bund.land.14,gruene,2
de.bund.land.14,linke,8
de.bund.land.14,spd,5
de.bund.land.15,cdu,5
de.bund.land.15,fdp,2
de.bund.land.15,gruene,1
de.bund.land.15,linke,6
de.bund.land.15,spd,3
de.bund.land.16,cdu,7
de.bund.land.16,fdp,2
de.bund.land.16,gruene,1
de.bund.land.16,linke,5
de.bund.land.16,spd,3
