unit,party,seats
de.bund,cdu,190
de.bund,csu,58
de.bund,fdp,47
de.bund,gruene,55
de.bund,linke,2
de.bund,spd,251
de.bund.land.01,cdu,8
de.bund.land.01,fdp,2
de.bund.land.01,gruene,2
de.bund.land.01,spd,10
de.bund.land.02,cdu,4
de.bund.land.02,fdp,1
de.bund.land.02,gruene,2
de.bund.land.02,spd,6
de.bund.land.03,cdu,22
de.bund.land.03,fdp,5
de.bund.land.03,gruene,5
de.bund.land.03,spd,31
de.bund.land.04,cdu,1
de.bund.land.04,gruene,1
de.bund.land.04,spd,2
de.bund.land.05,cdu,49
de.bund.land.05,fdp,13
de.bund.land.05,gruene,12
de.bund.land.05,spd,60
de.bund.land.06,cdu,17
de.bund.land.06,fdp,4
de.bund.land.06,gruene,5
de.bund.land.06,spd,18
de.bund.land.07,cdu,13
de.bund.land.07,fdp,3
de.bund.land.07,gruene,2
de.bund.land.07,spd,12
de.bund.land.08,cdu,34
de.bund.land.08,fdp,6
de.bund.land.08,gruene,9
de.bund.land.08,spd,27
de.bund.land.09,csu,58
de.bund.land.09,fdp,4
de.bund.land.09,gruene,7
de.bund.land.09,spd,26
de.bund.land.10,cdu,3
de.bund.land.10,fdp,1
de.bund.land.10,gruene,1
de.bund.land.10,spd,4
de.bund.land.11,cdu,6
de.bund.land.11,fdp,2
de.bund.land.11,gruene,4
de.bund.land.11,linke,2
de.bund.land.11,spd,9
de.bund.land.12,cdu,4
de.bund.land.12,fdp,1
de.bund.land.12,gruene,1
de.bund.land.12,spd,10
de.bund.land.13,cdu,4
de.bund.land.13,fdp,1
de.bund.land.13,spd,5
de.bund.land.14,cdu,13
de.bund.land.14,fdp,2
de.bund.land.14,gruene,2
de.bund.land.14,spd,12
de.bund.land.15,cdu,6
de.bund.land.15,fdp,1
de.bund.land.15,gruene,1
de.bund.land.15,spd,10
de.bund.land.16,cdu,6
de.bund.land.16,fdp,1
de.bund.land.16,gruene,1
de.bund.land.16,spd,9
