unit,party,seats
de.bund,cdu,177
de.bund,csu,48
de.bund,fdp,41
de.bund,spd,230
de.bund.land.01,cdu,9
de.bund.land.01,fdp,2
de.bund.land.01,spd,11
de.bund.land.02,cdu,5
de.bund.land.02,fdp,2
de.bund.land.02,spd,9
de.bund.land.03,cdu,27
de.bund.land.03,fdp,5
de.bund.land.03,spd,30
de.bund.land.04,cdu,1
de.bund.land.04,spd,3
de.bund.land.05,cdu,61
de.bund.land.05,fdp,12
de.bund.land.05,spd,75
de.bund.land.06,cdu,19
de.bund.land.06,fdp,5
de.bund.land.06,spd,23
de.bund.land.07,cdu,15
de.bund.land.07,fdp,2
de.bund.land.07,spd,14
de.bund.land.08,cdu,36
de.bund.land.08,fdp,8
de.bund.land.08,spd,28
de.bund.land.09,csu,48
de.bund.land.09,fdp,5
de.bund.land.09,spd,33
de.bund.land.10,cdu,4
de.bund.land.10,spd,4
