unit,party,seats
de.bund,cdu,190
de.bund,csu,53
de.bund,fdp,39
de.bund,spd,214
de.bund.land.01,cdu,10
de.bund.land.01,fdp,2
de.bund.land.01,spd,10
de.bund.land.02,cdu,5
de.bund.land.02,fdp,1
de.bund.land.02,spd,8
de.bund.land.03,cdu,28
de.bund.land.03,fdp,5
de.bund.land.03,spd,29
de.bund.land.04,cdu,2
de.bund.land.04,spd,3
de.bund.land.05,cdu,66
de.bund.land.05,fdp,12
de.bund.land.05,spd,70
de.bund.land.06,cdu,21
de.bund.land.06,fdp,4
de.bund.land.06,spd,22
de.bund.land.07,cdu,16
de.bund.land.07,fdp,2
de.bund.land.07,spd,13
de.bund.land.08,cdu,38
de.bund.land.08,fdp,7
de.bund.land.08,spd,26
de.bund.land.09,csu,53
de.bund.land.09,fdp,6
de.bund.land.09,spd,29
de.bund.land.10,cdu,4
de.bund.land.10,spd,4
