unit,party,seats
de.bund,cdu,174
de.bund,csu,52
de.bund,fdp,53
de.bund,spd,218
de.bund.land.01,cdu,9
de.bund.land.01,fdp,3
de.bund.land.01,spd,11
de.bund.land.02,cdu,4
de.bund.land.02,fdp,2
de.bund.land.02,spd,7
de.bund.land.03,cdu,26
de.bund.land.03,fdp,7
de.bund.land.03,spd,30
de.bund.land.04,cdu,1
de.bund.land.04,spd,3
de.bund.land.05,cdu,60
de.bund.land.05,fdp,17
de.bund.land.05,spd,70
de.bund.land.06,cdu,19
de.bund.land.06,fdp,5
de.bund.land.06,spd,22
de.bund.land.07,cdu,15
de.bund.land.07,fdp,3
de.bund.land.07,spd,14
de.bund.land.08,cdu,36
de.bund.land.08,fdp,9
de.bund.land.08,spd,27
de.bund.land.09,csu,52
de.bund.land.09,fdp,7
de.bund.land.09,spd,30
de.bund.land.10,cdu,4
de.bund.land.10,spd,4
