unit,party,seats
de.bund,cdu,217
de.bund,csu,53
de.bund,dp,17
de.bund,fdp,41
de.bund,spd,169
de.bund.land.01,cdu,14
de.bund.land.01,dp,1
de.bund.land.01,fdp,1
de.bund.land.01,spd,7
de.bund.land.02,cdu,7
de.bund.land.02,dp,1
de.bund.land.02,fdp,2
de.bund.land.02,spd,9
de.bund.land.03,cdu,27
de.bund.land.03,dp,8
de.bund.land.03,fdp,4
de.bund.land.03,spd,22
de.bund.land.04,cdu,2
de.bund.land.04,dp,1
de.bund.land.04,spd,3
de.bund.land.05,cdu,87
de.bund.land.05,dp,2
de.bund.land.05,fdp,11
de.bund.land.05,spd,54
de.bund.land.06,cdu,20
de.bund.land.06,dp,3
de.bund.land.06,fdp,4
de.bund.land.06,spd,19
de.bund.land.07,cdu,18
de.bund.land.07,fdp,3
de.bund.land.07,spd,10
de.bund.land.08,cdu,37
de.bund.land.08,dp,1
de.bund.land.08,fdp,11
de.bund.land.08,spd,18
de.bund.land.09,csu,53
de.bund.land.09,fdp,4
de.bund.land.09,spd,25
de.bund.land.10,cdu,5
de.bund.land.10,fdp,1
de.bund.land.10,spd,2
