unit,party,seats
de.bund,cdu,191
de.bund,csu,53
de.bund,fdp,34
de.bund,gruene,27
de.bund,spd,193
de.bund.land.01,cdu,10
de.bund.land.01,fdp,1
de.bund.land.01,gruene,1
de.bund.land.01,spd,9
de.bund.land.02,cdu,5
de.bund.land.02,gruene,1
de.bund.land.02,spd,7
de.bund.land.03,cdu,29
de.bund.land.03,fdp,4
de.bund.land.03,gruene,4
de.bund.land.03,spd,26
de.bund.land.04,cdu,2
de.bund.land.04,spd,3
de.bund.land.05,cdu,65
de.bund.land.05,fdp,10
de.bund.land.05,gruene,8
de.bund.land.05,spd,63
de.bund.land.06,cdu,21
de.bund.land.06,fdp,4
de.bund.land.06,gruene,3
de.bund.land.06,spd,20
de.bund.land.07,cdu,16
de.bund.land.07,fdp,2
de.bund.land.07,gruene,1
de.bund.land.07,spd,12
de.bund.land.08,cdu,39
de.bund.land.08,fdp,7
de.bund.land.08,gruene,5
de.bund.land.08,spd,23
de.bund.land.09,csu,53
de.bund.land.09,fdp,6
de.bund.land.09,gruene,4
de.bund.land.09,spd,26
de.bund.land.10,cdu,4
de.bund.land.10,spd,4
