unit,party,seats
de.bund,cdu,192
de.bund,csu,50
de.bund,fdp,67
de.bund,spd,190
de.bund.land.01,cdu,13
de.bund.land.01,fdp,3
de.bund.land.01,spd,8
de.bund.land.02,cdu,6
de.bund.land.02,fdp,3
de.bund.land.02,spd,9
de.bund.land.03,cdu,26
de.bund.land.03,fdp,9
de.bund.land.03,spd,25
de.bund.land.04,cdu,1
de.bund.land.04,fdp,1
de.bund.land.04,spd,3
de.bund.land.05,cdu,76
de.bund.land.05,fdp,19
de.bund.land.05,spd,60
de.bund.land.06,cdu,17
de.bund.land.06,fdp,7
de.bund.land.06,spd,21
de.bund.land.07,cdu,16
de.bund.land.07,fdp,4
de.bund.land.07,spd,11
de.bund.land.08,cdu,32
de.bund.land.08,fdp,12
de.bund.land.08,spd,22
de.bund.land.09,csu,50
de.bund.land.09,fdp,8
de.bund.land.09,spd,28
de.bund.land.10,cdu,5
de.bund.land.10,fdp,1
de.bund.land.10,spd,3
