unit,party,seats
de.bund,cdu,268
de.bund,csu,51
de.bund,fdp,79
de.bund,gruene,8
de.bund,linke,17
de.bund,spd,239
de.bund.land.01,cdu,11
de.bund.land.01,fdp,3
de.bund.land.01,spd,10
de.bund.land.02,cdu,6
de.bund.land.02,fdp,2
de.bund.land.02,spd,6
de.bund.land.03,cdu,31
de.bund.land.03,fdp,7
de.bund.land.03,spd,27
de.bund.land.04,cdu,2
de.bund.land.04,fdp,1
de.bund.land.04,spd,3
de.bund.land.05,cdu,63
de.bund.land.05,fdp,17
de.bund.land.05,linke,1
de.bund.land.05,spd,65
de.bund.land.06,cdu,22
de.bund.land.06,fdp,6
de.bund.land.06,spd,20
de.bund.land.07,cdu,17
de.bund.land.07,fdp,4
de.bund.land.07,spd,13
de.bund.land.08,cdu,39
de.bund.land.08,fdp,10
de.bund.land.08,spd,24
de.bund.land.09,csu,51
de.bund.land.09,fdp,9
de.bund.land.09,spd,26
de.bund.land.10,cdu,4
de.bund.land.10,fdp,1
de.bund.land.10,spd,6
de.bund.land.11,cdu,12
de.bund.land.11,fdp,3
de.bund.land.11,gruene,1
de.bund.land.11,linke,3
de.bund.land.11,spd,9
de.bund.land.12,cdu,8
de.bund.land.12,fdp,2
de.bund.land.12,gruene,2
de.bund.land.12,linke,3
de.bund.land.12,spd,7
de.bund.land.13,cdu,8
de.bund.land.13,fdp,1
de.bund.land.13,gruene,1
de.bund.land.13,linke,2
de.bund.land.13,spd,4
de.bund.land.14,cdu,21
de.bund.land.14,fdp,5
de.bund.land.14,gruene,2
de.bund.land.14,linke,4
de.bund.land.14,spd,8
de.bund.land.15,cdu,12
de.bund.land.15,fdp,5
de.bund.land.15,gruene,1
de.bund.land.15,linke,2
de.bund.land.15,spd,6
de.bund.land.16,cdu,12
de.bund.land.16,fdp,3
de.bund.land.16,gruene,1
de.bund.land.16,linke,2
de.bund.land.16,spd,5
